feature,importance
x1,0.796587894129095
x3,0.0957758553079987
x7,0.07596710655367041
x8_0,0.02180794517675922
x2,0.007548281189199976
x4,0.0016424316476533099
x8_3,0.00016563225353153727
x8_5,0.0001512020908029108
x8_1,0.00012263151402440998
x6_2,7.224913275308711e-05
x6_4,5.460887589353607e-05
x8_2,4.235685504818222e-05
x6_3,2.749236413963398e-05
x8_4,2.4288000457190887e-05
x6_5,1.0024908972920459e-05
x5,0.0
